system:index,elevation,latitude,longitude,.geo
123,21,16.47123873,80.70851863,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.70851862640075,16.471238734300748]}"
124,22,16.47123873,80.70878812,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.70878812098596,16.471238734300748]}"
125,17,16.47096924,80.67537079,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.67537079241674,16.470969239715508]}"
126,18,16.47096924,80.67564029,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.67564028700195,16.470969239715508]}"
127,19,16.47096924,80.67590978,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.67590978158722,16.470969239715508]}"
128,21,16.47096924,80.67617928,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.67617927617243,16.470969239715508]}"
129,19,16.47096924,80.67644877,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.6764487707577,16.470969239715508]}"
130,18,16.47096924,80.67671827,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.67671826534291,16.470969239715508]}"
131,17,16.47096924,80.67698776,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.67698775992812,16.470969239715508]}"
132,18,16.47096924,80.67725725,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.67725725451339,16.470969239715508]}"
133,17,16.47096924,80.67752675,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.6775267490986,16.470969239715508]}"
134,15,16.47096924,80.67779624,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.67779624368387,16.470969239715508]}"
135,16,16.47096924,80.67806574,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.67806573826908,16.470969239715508]}"
136,15,16.47096924,80.67833523,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.67833523285435,16.470969239715508]}"
137,16,16.47096924,80.67860473,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.67860472743956,16.470969239715508]}"
138,18,16.47096924,80.67887422,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.67887422202477,16.470969239715508]}"
139,17,16.47096924,80.67914372,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.67914371661004,16.470969239715508]}"
140,16,16.47096924,80.67941321,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.67941321119525,16.470969239715508]}"
141,17,16.47096924,80.67968271,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.67968270578052,16.470969239715508]}"
142,18,16.47096924,80.6799522,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.67995220036573,16.470969239715508]}"
143,19,16.47096924,80.68022169,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.680221694951,16.470969239715508]}"
144,18,16.47096924,80.68049119,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.68049118953621,16.470969239715508]}"
145,17,16.47096924,80.68076068,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.68076068412148,16.470969239715508]}"
146,16,16.47096924,80.68103018,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.68103017870669,16.470969239715508]}"
147,15,16.47096924,80.68129967,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.6812996732919,16.470969239715508]}"
148,14,16.47096924,80.68156917,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.68156916787717,16.470969239715508]}"
149,16,16.47096924,80.68183866,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.68183866246238,16.470969239715508]}"
150,17,16.47096924,80.68210816,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.68210815704765,16.470969239715508]}"
151,16,16.47096924,80.68237765,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.68237765163286,16.470969239715508]}"
152,17,16.47096924,80.68264715,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.68264714621813,16.470969239715508]}"
153,18,16.47096924,80.68291664,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.68291664080334,16.470969239715508]}"
154,17,16.47096924,80.68318614,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.68318613538855,16.470969239715508]}"
155,16,16.47096924,80.68345563,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.68345562997382,16.470969239715508]}"
156,15,16.47096924,80.68372512,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.68372512455903,16.470969239715508]}"
157,16,16.47096924,80.68399462,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.6839946191443,16.470969239715508]}"
158,18,16.47096924,80.68426411,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.68426411372951,16.470969239715508]}"
159,19,16.47096924,80.68453361,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.68453360831478,16.470969239715508]}"
160,20,16.47096924,80.6848031,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.68480310289999,16.470969239715508]}"
161,18,16.47096924,80.6850726,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.6850725974852,16.470969239715508]}"
162,17,16.47096924,80.68534209,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.68534209207047,16.470969239715508]}"
163,15,16.47096924,80.68561159,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.68561158665568,16.470969239715508]}"
164,16,16.47096924,80.68588108,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.68588108124095,16.470969239715508]}"
165,17,16.47096924,80.68615058,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.68615057582616,16.470969239715508]}"
166,18,16.47096924,80.68642007,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.68642007041143,16.470969239715508]}"
167,16,16.47096924,80.68668956,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.68668956499664,16.470969239715508]}"
168,15,16.47096924,80.68695906,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.68695905958185,16.470969239715508]}"
169,14,16.47096924,80.68722855,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.68722855416712,16.470969239715508]}"
170,15,16.47096924,80.68749805,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.68749804875233,16.470969239715508]}"
171,16,16.47096924,80.68776754,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.6877675433376,16.470969239715508]}"
172,17,16.47096924,80.68803704,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.68803703792281,16.470969239715508]}"
173,18,16.47096924,80.68830653,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.68830653250808,16.470969239715508]}"
174,20,16.47096924,80.68857603,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.68857602709329,16.470969239715508]}"
175,17,16.47096924,80.68884552,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.6888455216785,16.470969239715508]}"
176,16,16.47096924,80.68911502,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.68911501626377,16.470969239715508]}"
177,15,16.47096924,80.68938451,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.68938451084898,16.470969239715508]}"
178,16,16.47096924,80.68965401,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.68965400543425,16.470969239715508]}"
179,17,16.47096924,80.6899235,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.68992350001946,16.470969239715508]}"
180,18,16.47096924,80.69019299,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.69019299460473,16.470969239715508]}"
181,17,16.47096924,80.69046249,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.69046248918994,16.470969239715508]}"
182,18,16.47096924,80.69073198,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.69073198377521,16.470969239715508]}"
183,19,16.47096924,80.69100148,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.69100147836042,16.470969239715508]}"
184,20,16.47096924,80.69127097,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.69127097294563,16.470969239715508]}"
185,18,16.47096924,80.69154047,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.6915404675309,16.470969239715508]}"
186,17,16.47096924,80.69180996,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.69180996211611,16.470969239715508]}"
187,18,16.47096924,80.69207946,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.69207945670138,16.470969239715508]}"
188,19,16.47096924,80.69234895,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.69234895128659,16.470969239715508]}"
189,18,16.47096924,80.69261845,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.69261844587186,16.470969239715508]}"
190,20,16.47096924,80.69288794,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.69288794045707,16.470969239715508]}"
191,19,16.47096924,80.69315744,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.69315743504228,16.470969239715508]}"
192,18,16.47096924,80.69342693,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.69342692962755,16.470969239715508]}"
193,17,16.47096924,80.69369642,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.69369642421276,16.470969239715508]}"
194,21,16.47096924,80.69396592,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.69396591879803,16.470969239715508]}"
195,23,16.47096924,80.69423541,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.69423541338324,16.470969239715508]}"
196,26,16.47096924,80.69450491,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.69450490796851,16.470969239715508]}"
197,23,16.47096924,80.6947744,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.69477440255372,16.470969239715508]}"
198,20,16.47096924,80.6950439,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.69504389713893,16.470969239715508]}"
199,21,16.47096924,80.69531339,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.6953133917242,16.470969239715508]}"
200,22,16.47096924,80.69558289,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.69558288630941,16.470969239715508]}"
201,23,16.47096924,80.69585238,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.69585238089468,16.470969239715508]}"
202,21,16.47096924,80.69612188,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.69612187547989,16.470969239715508]}"
203,22,16.47096924,80.69639137,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.69639137006516,16.470969239715508]}"
204,24,16.47096924,80.69666086,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.69666086465037,16.470969239715508]}"
205,23,16.47096924,80.69693036,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.69693035923558,16.470969239715508]}"
206,22,16.47096924,80.69719985,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.69719985382085,16.470969239715508]}"
207,21,16.47096924,80.69746935,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.69746934840606,16.470969239715508]}"
208,22,16.47096924,80.69773884,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.69773884299133,16.470969239715508]}"
209,21,16.47096924,80.69800834,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.69800833757654,16.470969239715508]}"
210,20,16.47096924,80.69827783,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.6982778321618,16.470969239715508]}"
211,21,16.47096924,80.69854733,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.69854732674702,16.470969239715508]}"
212,20,16.47096924,80.69881682,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.69881682133223,16.470969239715508]}"
213,19,16.47096924,80.69908632,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.6990863159175,16.470969239715508]}"
214,18,16.47096924,80.69935581,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.69935581050271,16.470969239715508]}"
215,17,16.47096924,80.69962531,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.69962530508798,16.470969239715508]}"
216,18,16.47096924,80.6998948,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.69989479967319,16.470969239715508]}"
217,19,16.47096924,80.70016429,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.70016429425846,16.470969239715508]}"
218,18,16.47096924,80.70043379,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.70043378884367,16.470969239715508]}"
219,20,16.47096924,80.70070328,"{""geodesic"":false,""type"":""Point"",""coordinates"":[80.70070328342888,16.470969239715508]}"
